time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	1.216658e-001
1.149553571428571e-006	1.149554e-001	2.240307e-001
2.299107142857143e-006	2.299107e-001	3.252334e-001
3.448660714285714e-006	3.448661e-001	4.252740e-001
4.598214285714285e-006	4.598214e-001	5.241524e-001
5.747767857142857e-006	5.747768e-001	6.218687e-001
6.897321428571428e-006	6.897321e-001	7.184228e-001
8.046874999999997e-006	8.046875e-001	8.138148e-001
9.999999999999999e-006	1.000000e+000	9.649842e-001
1.019531250000001e-005	1.000000e+000	9.702058e-001
1.292968750000000e-005	1.000000e+000	9.191387e-001
1.488281250000000e-005	1.000000e+000	8.837939e-001
1.683593750000001e-005	1.000000e+000	8.495235e-001
1.878906250000001e-005	1.000000e+000	8.164833e-001
2.074218750000001e-005	1.000000e+000	7.847741e-001
2.269531250000001e-005	1.000000e+000	7.544901e-001
2.464843750000001e-005	1.000000e+000	7.257178e-001
2.660156250000001e-005	1.000000e+000	6.985368e-001
2.855468750000002e-005	1.000000e+000	6.730188e-001
3.050781250000002e-005	1.000000e+000	6.492281e-001
3.246093750000002e-005	1.000000e+000	6.272209e-001
3.441406250000002e-005	1.000000e+000	6.070461e-001
3.636718750000002e-005	1.000000e+000	5.887441e-001
3.832031250000002e-005	1.000000e+000	5.723481e-001
4.027343750000003e-005	1.000000e+000	5.578828e-001
4.222656250000003e-005	1.000000e+000	5.453658e-001
4.417968750000003e-005	1.000000e+000	5.348066e-001
4.613281250000003e-005	1.000000e+000	5.262072e-001
5.003906250000004e-005	1.000000e+000	5.148588e-001
5.199218750000004e-005	1.000000e+000	5.120773e-001
5.394531250000004e-005	1.000000e+000	5.111912e-001
5.589843750000004e-005	1.000000e+000	5.121671e-001
5.785156250000004e-005	1.000000e+000	5.149653e-001
5.980468750000004e-005	1.000000e+000	5.195401e-001
6.175781250000005e-005	1.000000e+000	5.258399e-001
6.371093750000005e-005	1.000000e+000	5.338074e-001
6.566406250000005e-005	1.000000e+000	5.433806e-001
6.761718750000005e-005	1.000000e+000	5.544921e-001
6.957031250000005e-005	1.000000e+000	5.670704e-001
7.152343750000005e-005	1.000000e+000	5.810397e-001
7.347656250000006e-005	1.000000e+000	5.963202e-001
7.542968750000006e-005	1.000000e+000	6.128290e-001
7.933593750000006e-005	1.000000e+000	6.491846e-001
8.324218750000006e-005	1.000000e+000	6.893889e-001
8.714843750000007e-005	1.000000e+000	7.326939e-001
9.105468750000007e-005	1.000000e+000	7.783341e-001
9.496093750000008e-005	1.000000e+000	8.255385e-001
9.886718750000008e-005	1.000000e+000	8.735420e-001
1.027734375000001e-004	1.000000e+000	9.215970e-001
1.066796875000001e-004	1.000000e+000	9.690115e-001
1.100000000000000e-004	1.000000e+000	1.008348e+000
1.114285714285714e-004	8.571429e-001	8.834958e-001
1.128571428571429e-004	7.142857e-001	7.600948e-001
1.142857142857143e-004	5.714286e-001	6.381447e-001
1.157142857142857e-004	4.285714e-001	5.176454e-001
1.171428571428572e-004	2.857143e-001	3.985969e-001
1.185714285714286e-004	1.428571e-001	2.809992e-001
1.200000000000000e-004	0.000000e+000	1.648523e-001
1.223716517857143e-004	0.000000e+000	2.097228e-001
1.247433035714286e-004	0.000000e+000	2.520134e-001
1.271149553571429e-004	0.000000e+000	2.917241e-001
1.294866071428572e-004	0.000000e+000	3.288550e-001
1.318582589285714e-004	0.000000e+000	3.634059e-001
